comments,sentiments
People develop a sense of inferiority by hearing the success and happiness of other people on social media,positive
A beauty competition has also been observed on social media for becoming perfect Cosmetic companies play with the sentiment of people through their air-brushed model pictures,positive
People have become more possessive about their self-worth just because of social media,positive
Social media allows you only face-to-face communication rather physical interaction,positive
Irresponsible use of social media and internet has affected the studies of students, negative
Content is distributed on social media sites virally without any authentication, negative
Social media can risk someones reputation too easily, negative
Social media is a big source of spreading hate speech pornographic content and indiscreet remarks, negative 
Social media must have some usage limitations, negative
People have become more informed about current affairs due to social media,positive
Social media users are more updated informed and learnt,positive 
Decision making about politics and casting votes has become easier due to social media,positive
Nowadays to win any battle wither socially or politically you must have well prepared social media team,positive
Students do group studies on social media groups,positive
People assist one another in seeking jobs and admission on social media,positive
People skilled themselves with latest and new technologies just because of social media,positive
Productivity level of students and professionals might decrease by wasting their time, negative 
Social media users can disclose personal information of others on public forums , negative
Government companies and department can get their performance reviews from the public through social media,positive
Performance of any department company and business can be improved by conducting surveys on social media,positive
People can share their reservations and positive response about government through social media,positive
People can buy or sell something through social media,positive
People can watch movie serials on social media,positive
A hub of depression, negative
People have become self-centered unconcerned and unproductive by using social accounts,negative
social media has destroyed our chopal system ,negative
The available information is not authentic  ,negative
Time is wasted  due to social media.  ,negative
social media is mean of communication  ,positive
One can find friends on facebook  ,positive
one can share files on facebook  ,positive
On Twitter one can give its openion   by tweet             positive  ,positive
There are errors in the Codes available on social media. negative  ,negative
people can easily mention there problems  ,positive
One can update its status on facebook  ,positive
Facebook acounts can be Hacked  ,negative
Twiter is enforcing govt to right direction  ,positive
Social media make the world global village  ,positive
Vedio calls now can be done by social media  ,positive
socail media may lead the young generation towards wrong way.  ,negative
Social media can help in study by study groups  ,positive
Advertisement of products can be done by social media   ,positive
Products can be sell on social media.  ,positive
social media is not properly monitored  ,negative
social media is key factor of entertainment  ,positive
 it has become quite easy for anyone to bully on the Internet  ,negative
Addiction The addictive part of the social media is very bad and can disturb personal lives as well  ,negative
Connectivity The first and main advantage of the social media is connectivity.  ,positive
people follow others who are wealthy or drug addicted and share their views and videos on the web  ,negative
social media is helping students and teachers  ,positive
Social Media causes death Not just by using it  ,negative
You can share your issues with the community to get help and giddiness  ,positive
Health Issues The excess usage of social media can also have a negative impact on the health  ,negative
The main advantage of the social media is that you update yourself from the latest happenings around in the world  ,positive
you canpromote your business to the largest audience  ,positive
Most of the people have used the social media platform to propose and marry each other  ,negative
Social media can also be used for the noble causes. For example  ,positive
Social media also create awareness and innovate the way people live.  ,positive
Several examples are available where individuals have scammed and commit fraud through the social media  ,negative
It is also one of the advantages of the social media that it helps Governments and Security Agencies to spy andcatch criminals to fight crime  ,positive
Social media helps in building and participating in the community of own religion and believes to discuss and learn about it.  ,positive
against islamic data is hurting muslims  ,negative
depends on use  ,positive
facebook is not useful  ,negative
facebook is bad.  ,negative
facebook is usefull  ,positive
On fb one can run a movement  ,positive
fb account can be fake  ,negative
I love youtube  ,positive
I hate fb  ,negative
I love fb  ,positive
find new friends via fb  ,positive
all depends on situation  ,positive
it may make someone hopeless  ,negative
social media does not injure anyone  ,positive
does more bad  ,negative
social media injured by challenging someone  ,negative
threads can be given by fb  ,negative
job search  ,positive
social media is harmfull for society more  ,negative
negativeitivity can spread through it  ,negative
social media helps to raise society problems  ,positive
it make world global village  ,positive
fake  ,negative
bad news  ,negative
fb is not financially usefull  ,negative
spread thoughts by fb  ,positive
spread negative thougts  ,negative
convey message  ,positive
convey bad message  ,negative
improve knowledge  ,positive
interact new people by fb  ,negative
why people use it more time  ,negative
I hate time wasting  ,positive
I love to use fb in free  ,positive
I love share files by fb  ,positive
twitter is used by uper calss  ,negative
twitter war is bad  ,positive
twitter discussion is good  ,positive
taking views of people  ,negative
depression can done by fb  ,negative
controls mind towards wrong way  ,positive
raise your voice by social media  ,negative
cause destruction   ,negative
against ethics to use it every time  ,positive
spread quallity of someone by socialmedia  ,negative
social media overall is not good for me  ,negative
make people dull  ,negative
personel information is note safe  ,positive
earning can be done by socail media  ,positive
latest news  ,positive
connect to family  ,positive
share your feelings  ,positive
educational help  ,positive
fake news  ,negative
use it effectively  ,positive
you recognize your followers are going to obtain your message through tweet. ,positive
tweets are not time consuming.,positive
you can get in touch with almost every corner of the earth.,positive
it is simple to track the records composed through twitter.,positive
you do not have to hang about with twitter to reach people.,positive
you do not need to utilize link cutting tools.,positive
you can use twitter for business.,positive
it is simple to expand the reach of your business.,positive
it is easy to share your message with other companies.,positive
twitter does a huge job of getting to the newer generations for business.,positive
it can be without charge.,positive
many persons have hundreds if not thousands of profiles that they follow.,negative
you never recognize how lively a follower account is going to be.,negative
twitter for company is unreasonably addictive.,negative
it is simple to become unfocused on twitter.,negative
be careful of the spam.,negative
the time implicated may not be value the actual expenditure for some companies.,negative
more publicity for your brand will mean more harmful relations.,negative
accidents with your twitter account can and will occur.,negative
it is difficult to differentiate between a troll and a alarmed follower.,negative
twitter for company can at times undergo from reliability issues.,negative
nothing is going to occur without delay.,negative
get a wide spectators.,positive
bring customer service.,positive
brand uniqueness,positive
feedback,positive
resources,negative
negative feedback(criticism),negative
time sensitive,negative
spam,negative
character boundaries,negative
you can make a lot of accounts as you need/want.,positive
twitter can facilitate customers feel a link with you.,positive
"twitter has rolled out an ""algorithmically generated"" timeline.",positive
twitter do not crop photos anymore on timeline.,positive
twitter has extended a feature named as moments.,positive
twitter has introduced 'safe search.,positive
twitter  prevents 'banned users' from making new accounts.,positive
because twitter is simple your account has to be lean and mean.,negative
"twitter has no ""edit tweet"" button.",negative
the wrong twitter-brand strategy could harm your party's reputation.,negative
twitter celebrates birthdays with multicolor balloons,positive
hard to make following,negative
extend your business reach.,positive
it is simple to use and extremely interactive.,positive
it is easy to get from anywhere.,positive
it is perfect for micro-elearning.,positive
it provides opportunities for real time debate.,positive
it is great for linking with your newer and younger audience.,positive
it is a scheming tool for elearning professionals networking.,positive
it is used to obtain elearning feedback.,positive
it can construct a strong group of people among your learners.,positive
tweets are just like moments in life.,negative
it dont allow to send multiple people at same time.,negative
it is not perfect medium for visual content.,negative
it doesnt records content and chats.,negative
reduce promotion costs,positive
increase sales,positive
increased traffic to your businesss website,positive
improved position on search engines,positive
greater consumer engagement,positive
greater entrance to international markets,positive
opportunity for consumer feedback,positive
opportunity to carry out market research about your customers,positive
improved networking opportunities with consumers and other companies.,positive
not having a clear advertising or social media plan may result in limited benefits for your company.,negative
additional funds and staff may be needed to supervise your online existence.,negative
social media is direct and needs timely(daily) monitoring.,negative
if you do not actively control your social media occurrence you may not get any real benefits.,negative
risk of unnecessary or inappropriate manners on your site including discrimination and harassment.,negative
greater publicity online has the ability to attract risks and it can include negative feedback(critics) hacking  or information leaks.,negative
confidence may suffer.,negative
it saps efficiency.,negative
everyone is watching,negative
it can be appealing to rubbish talk.,negative
it is an simple way to send ideas to followers and get the news.,positive
its great for publicity.,positive
great for self-promotion... but good for promoting others.,positive
it may be used to forecast the future (kind of).,positive
twitter analytics,positive
share ideas and get to news,positive
hashtag power,positive
deliver consumer service,positive
offline tweet-up(messaging),positive
automate tweets(followers telling),positive
free account,positive
predict the future,positive
creating equilibrium on posted content,negative
the authority of available content,negative
easy to navigate and update link to and promote anything,positive
anyone can follow anyone unless blocked,positive
responsive,positive
dont have to be logged in to acquire updates; people can use an rss reader,positive
many other applications being developed (twitterific summize twhirl etc.),positive
potential future marketing and/or enterprise subscription-based income streams,positive
incomplete functionality find people send (brief) messages direct replies,negative
not all users find it instantly useful,negative
over-emphasis on follower counts,negative
badly treated for spam and growing the noise level,negative
relatively lesser installed user base,negative
twitter reaches contract to show tweets in google search results,positive
keyword searches,positive
consumer access,positive
consumer reach,positive
positive consumer experience,positive
keep an eye on the rivalry,positive
can talk to celebrities effortlessly,positive
we can create selected member groups,positive
social mdia provide a platform to advertisement,positive
fake accounts are big source of fake material, negative
big source of amusement,positive
we can create chat groups on messenger,positive
we can share photos and videos,positive
we can connect with live video calls to our loving ones,positive
sending documents is not a big issue today due to social media,positive
social media is a vast platform to connecting people around world,positive
we can easily connect with relatives and friends who are far from us,positive
we can know about the information of whole world from social media,positive
We use social media in various ways as to popular ourself and other things like that for socialism,positive
We can also get  information from social media about all kind of people,positive
Social media is a easy way to talk with friends family and others,positive
Because of Social media our young generation doesn't concentrate on their studies, negative
everyone waste their time on Social media apps, negative
Many people miss use  social media to irritate unknown users, negative
They also watch bad things or bad activities on Social media, negative
Many people lost their lives because of Social media relationships, negative
we can get contact details,positive
time killing to avoid boring routine,positive
long list of friends,positive
one can say anything about his or herself not authentic, negative
one can talk to anyone one without showing their identities by creating fake accounts, negative
facebook is a platform for flurting, negative
people use facebook to get likes,positive
people can get admiration by posting their attracting photos and videos,positive
opportunity to get yourself famous,positive
source of contact wirth people,positive
Social media helps to reduce loneliness among senior citizens,positive
Excess usage of social media can directly affects grades of social media, negative
Social media media is available to every person even the highly profiled culprits can also use it in the destruction of society, negative
It reduces human effort to bring the news to the worthy of it,positive
Some times rumors could be spread through social media which could dmeage the society, negative
It increased the opposite sex contact in past few years which  increased honour killing in non developed areas of some countries, negative
Social media can be used for preventing bad activities Bad activities which are prevailing in the society,positive
Good positive thoughts could be spread in the far Off areas and NGO's could also get funds through it,positive
Facebook fake id's are the major source of crimes now a days specially in the cases of defamation and blasphemy, negative
Google is the main source of knowledge now  a days anyone who is the seeker will definitely be the finder here,positive
Due to social media vulgarity is increasing, negative
due to social media military assests are not safe, negative
enemy is using the ill minded innocence citizens, negative
due to social media you can access the world on a single click,positive
due to social media you can share your views with the whole world,positive
sharing personal views causing 5th gen war, negative
Brain washing, negative
Extremests, negative
ism things, negative
Health effects due to excesive use of social media, negative
due to social media criminal activities are increasing, negative
social media can easily persuade your minds anywhere they want to be, negative
It materialize every thing, negative
people posed them what they are not, negative
Social media can capture your thoughts in such a way that u even dont realise, negative
Social media connect u to all around the world but disconnect u from your family, negative
Social media increase a sense of inferiority in u, negative
It makes education more easy,positive
It spoils the privacy of individual persons, negative
It has made our play grounds barren  as children spend most of their time at social media instead of play some physical games, negative
It has snatched out the simplicity from our lives, negative
It has made us man of words not deeds as we do a lot of debates with each other on social media instead of making us practical, negative
It also became a cause of domestic violence as we donot spent proper time with each other, negative
It is used to raise the voice for your rights ib an effective way,positive
We cab deliver our message more frequently,positive
It help us in learning culture of each other,positive
It is the most effective way to share your thoughts,positive
It is a cause of depression as we listen to the devastating news from around the world, negative
As a business person Social media also helps us in marketing of our products,positive
It increases a political sense in public,positive
You can do online shoping,positive
It provides some quality entertainment,positive
It help us to portray a positive image of our country,positive
Through social media we can be  in contact with alot of international news,positive
Personal data and privacy can easily be hacked and shared on the Internet, negative
If social media use in excess it can make you addictive which can disturb your personal life, negative
Most of the people have used the social media platform to propose and marry each other However couples have cheated each other by showing the fake feelings and incorrect information, negative
Through social media you can share your issues with the community to get help and giddiness,positive
The main advantage of the social media is that you update yourself from the latest happenings around in the world,positive
Social media has decreased Face-to-Face Communication Skills, negative
dataset from internet, negative
facabook is addictive, negative
we can create groups on Facebook for specific persons,positive
spreads information faster than any other media,positive
Law enforcement uses to catch and prosecute criminals,positive
sites help students do better at school,positive
allows people to improve their relationships and make new friends,positive
helps empower business women,positive
sites help employers find employees and job-seekers find work,positive
Being a part of a site can increase a person's quality of life and reduce the risk of health problems,positive
facilitates face-to-face interaction,positive
increases voter participation,positive
is good for the economy,positive
sites empower individuals to make social change and do social good on a community level,positive
helps senior citizens feel more connected to society,positive
helps people who are socially isolated or shy connect with other people,positive
allows for quick easy dissemination of public health and safety information from reputable sources,positive
can help disarm social stigmas,positive
"Crowdsourcing and ""crowdfunding"" on allows people to collectively accomplish a goal",positive
provides academic research to a wider audience allowing many people access to previously unavailable educational resources,positive
Corporations and small businesses use to benefit themselves and consumers,positive
offers teachers a platform for collaboration with other teachers and communication with students outside the classroom,positive
offers a way for musicians and artists to build audiences even if they don't have a corporate contract,positive
Colleges and universities use to recruit and retain students,positive
allows for rapid communication during crisis events,positive
enables the spread of unreliable and false information, negative
lacks privacy and exposes users to government and corporate intrusions, negative
Students who are heavy users tend to have lower grades, negative
can lead to stress and offline relationship problems, negative
can entice people to waste time, negative
Using can harm job stability and employment prospects, negative
The use of is correlated with personality and brain disorders, negative
causes people to spend less time interacting face-to-face, negative
Criminals use to commit and promote crimes, negative
can endanger the military journalists and activists, negative
harms employees' productivity, negative
facilitates cyberbullying, negative
People who use are prone to social isolation, negative
aids the spread of hate groups, negative
Children may endanger themselves by not understanding the public and viral nature of social media, negative
enables cheating on school assignments, negative
sites' advertising practices may constitute an invasion of privacy, negative
Using can harm students' chances for college admission, negative
Put yourself out there in a good way,positive
Connect with students in other educational systems,positive
Making people feel bad about themselves, negative
Make new friends/communicate or connect with old friends/family,positive
Get different opinions on things like surveys,positive
Hacking into profiles and posting as them, negative
Get a fanbase/try to make a name for yourself,positive
Gossip/spread rumors, negative
You could help somebody with anything on a blog just by stating your opinion,positive
Instead of mailing something and having it take a few days to get there or even paying to mail it you can go right on the web and have it sent to someone in a matter of seconds,positive
The social media can bring people together that are interested in the same things as you are,positive
Ability to educate others in a different way,positive
60 million Americans received help with major life issues from people in their social networks in 2006 These people said social networking sites helped them connect with friends and experts who assisted in their decisions,positive
The use of social networking sites can cause personality and brain disorders in children such as the inability to have real conversations limited attention spans a need for instant gratification Attention-Deficit Hyperactivity Disorder (ADHD) and self-centered personalities, negative
Social networking sites bring people with common interests together,positive
Try to make an impact,positive
Social networking sites have no way to verify that people are who they claim to be leaving people vulnerable to solicitations from online predators who are able to mask their true identities, negative
Advertising yourself and a brand,positive
If your profile is not private people can get private information about you, negative
Blog about your opinions to express yourself in a non-violent way,positive
Colleges can recruit you on videos you put up on social media for sports,positive
Creating a blog that defames others, negative
you know your followers are going to get your message,positive
it doesnt take long to create a good tweet,positive
you can reach out to almost any corner of the planet,positive
it is easy to track the data collected through twitter,positive
you dont have to stay online to reach people,positive
you dont need to use link shortening tools,positive
you can automate twitter for business,positive
it is easy to extend the reach of your company,positive
it becomes easy to share your voice with other brands,positive
twitter for business does a great job of reaching the younger generations,positive
it can be free,positive
many people have hundreds if not thousands of accounts that they follow, negative
you never know how active a follower account is going to be, negative
twitter for business is ridiculously addictive, negative
it is easy to become distracted on twitter, negative
Creates a Skewed Self-Image, negative
Reduces Family Closeness, negative
Causes Distractions, negative
Misleading, negative
New hypotheses about psychosocial processes thanks to the text analysis of 700 million words from the Facebook messages of 75000 volunteers,positive
social medial destrNowadays even school kids join social networking sites resulting in lower grades, negative
people threatening each other negativeoy human health, negative
cyberbullying is common, negative
internet is a hub of knowledge, negative
social media has reduce faily interaction, negative
It promts cyber crime, negative
it is a very strong medium that kept connected to the whole world,positive
By itpeople can participate in the active politics,positive
By it people canshare threir views about the system,positive
Messaging on social media sites can lead to face-to-face interactions when plans are made via the sites,positive
Social media posts cannot be entirely deleted,negative
Social media use is associated with personality and brain disorders,negative
The U.S. military and the Department of Veterans Affairs use social media to help prevent suicide,positive
Crowdsourcing on social media allows people to attain a goal,positive
it is  empowering users to achieve positive change,positive
Students who are heavy social media users tend to have lower grades,negative
Social media can exacerbate feelings of disconnect and put children at higher risk for anxiety and depression,negative
Criminals can use social media to commit and promote crimes,negative
Social media can be a drain on time and use up hours that you cant get back,negative
Advertising practices of social media sites may create an invasion of privacy,negative
Social media facilitates sexting which can lead to revenge porn,negative
Social media sites can help improve overall well-being by providing users with a large social group creating a contagion effect,positive
Social media use can cause personality and brain disorders and self-centered personalitie sparticularly in youth,negative
It is more easy to Control who follows the users on facebook,positive
there is a Video chat feature in facebook thats why i like social media,positive
we can Embed video and photos on social media,positive
we can Promote events on social media,positive
facebbok has Cheap advertising,negative
social media is the wastevof Time,negative
there are huge Public onsocial media,negative
Facebook has high security risks,negative
social media is main source of connecting with the people,positive
professionals use twitterthats why it is best way to keep in touch with them,positive
youtube is the 2nd largest search engine,positive
we can use all social media apps on our iPads, neutral
Youtube is Own channel thats why i like to use Youtube,positive
"there is a Tough competition on social media, we cannot access directily",neutral
there is no live streaming on Youtube,negative
Every Embed video website is accessed easily on facebook,positive
"Social media has the feature of ""Link to other SN sites""",positive
every  Breaking news is happening on social media,positive
Huge Active community,positive
There are many Safety issues on facebook,negative
A flow of Business community on the social media,positive
The main purpose of social media is to be able to stay connected to friends and families in todays fast paced and ever changing worlds,positive
 share family photos,positive
You are able to rekindle old friendships,positive
Perpetuates False And Unreliable Information,negative
 anything can spread to millions of people within hours or days on social media,positive
This information can cause panic and severe misinformation in society,negative
Social media Causing Major Relationship Problems,negative
Online social interactions with social networking have not only been starting new relationships but ending many others,neutral
It is very simple to communicate and share pictures or plans with a person on social media and keep it completely under wraps,negative
This new temptation has been driving wedges into people's real life ,negative
social media is a source for offline relationships,negative
Social networking puts trust to the limit,negative
Companies, neutral
social media allows them to promote and market themselves and their products in a way that has never been seen before,positive
It is the ain cause of Information Spreads Incredibly Fast,positive
Breaking news and other important information can spread like wildfire on social media sites,positive
social media Helps To Catch And Convict Criminals,positive
People often do not think of the consequences of what they post of these social sites,positive
They also use these sites to identify and solve existing criminal cases,positive
Increase in Cyber Bullying Is A Growing Problem,negative
Having access to peoples lives at all times is not always a good thing,negative
A new trend of cyber bullying is wreaking havoc all across the world,negative
This is especially true with young kids,negative
They are publicly harassing one another,negative
people can Used easily Profile and Discriminate In The Job World,negative
Just about everyone has a social media account the shows what they look like,neutral
Employers are using this to their advantages is some very unsettling ways,negative
Jobs that are looking for a certain criteria of person  but cannot legally express these criteria,neutral
The Addiction Is Real on social media,negative
One of the biggest problems with the social media craze is that people are becoming more and more addicted to using it,negative
It is the number one time waster at work,negative
All of this has caused people to have literal withdraws from their social networks,negative
Location is a hurdle for participating in groups that require physical attendance,negative
many people can participate in online groups,positive
it is a source of knowledge,positive
people may gain experience,positive
sometimes the information on social media is not valid, negative
it may help terrorist in planning their activities, negative
teen agers are at high risk of their negative effects, negative
it may help feel someone better,positive
many health issues are just because of excessive use of social media on mobiles, negative
the negativeativity on social media can cause damage to ones mind, negative
it may bring people closer,positive
it can help in getting information,positive
it may help in making plans,positive
it may help in voting,positive
it may help in political changes,positive
the children are at high risk, negative
it may damage child health, negative
many children have eyesight problem due to excessive use of social media, negative
the data is always in risk, negative
hackers may use your personal data, negative
it is also very risky for military, negative
people can commit crimes through social media, negative
its use has impact on personality and may cause brain disorders, negative
students can get low marks due to excessive use, negative
it is very helpful for people to reduce loneliness,positive
many cybercrimes are done using social media, negative
it can disturb routine of its users," negative	"
it is also a cause of backbone diseases, negative
it can destroy privacy, negative
it keeps you up to date,positive
social media is also a source of false information,positive
it is helpful to improve communication between companies,positive
social media has made the world global village,positive
social medialis destructive to human health, negative
it is a source to connect people,positive
people educate themselves by using social medial,positive
it is helpful in gathering views about important topics,positive
people can easily convey their messages to whole world,positive
it helps business men to advertise their product,positive
business men can sell their products through social media,positive
it is a great source of business,positive
common people have equal status to well known people,positive
it is helpful in increasing people vision,positive
it helps people to gain their goals,positive
it also empowers common person to share views and ideas with world,positive
it provides a huge educational resource,positive
these sites help people to improve their overall wellbeing,positive
professionals can earn a huge amount of money,positive
many websites help companies to find new employee,positive
many job seekers can find jobs on professional networking sites,positive
Social media posts are not deleted entirely, negative
help in sharing ideas and views, negative
youth is wasting a lot of time on social media, negative
it is helpful in forcefully holding criminal,positive
cause relationship problems, negative
it helps in increasing awareness about brands,positive
people relationship with family is affected due to social media, negative
social media is a cause of family disputes, negative
it has brought everything hands on,positive
social medial is making our life fast,positive
a proper way of earning,positive
it helps people to know about jobs,positive
as compare to paper work it is fast,positive
data on social medial is not protected, negative
due to excessive use the network traffic is increasing day by day, negative
help to increase friends,positive
the first 3 days of any publication is based on twitter activity,positive
a new field of knowledge came in practice due to social media known as text analysis,positive
it is rapid source of making assessments,positive
it helps people to know about image analysis and pattern reorganization,positive
it is very economical way of connecting people,positive
it helps to get different opinions on surveys,positive
people with same interests came closer,positive
It is helpful in advertising your company brand,positive
it made easier to find old friends,positive
it made easier to make new friends,positive
it is a source of enjoyment for disable peoples,positive
best tool to invite people for an event,positive
professionals are helped to create network of people easily,positive
it is a source to promote work of actors musicians and writers,positive
it helps people to form new pages or theater companies,positive
it has a lot of information about general interest of people,positive
social media are now focusing on the specific interest of society,positive
social media helps police prosecute criminals,positive
it also helps police to catch criminals,positive
social media allow us to send and receive messages,positive
it also helps us to upload videos and photos,positive
it has given chance to interact with whole world,positive
social media has no proper privacy, negative
school kids those are active on social networking sites scoreless marks, negative
outdoor games are played less due to social media,positive
it is making people less active,positive
it is a facility for cybercrimes, negative
People spend more time online and less time face to face, negative
profiles are hacked, negative
criminals can post false and fake news from hacked profiles, negative
it helps hackers to blackmail people by posting inappropriate pictures, negative
it helps criminals to spreads rumors, negative
social media is destroying marriages by making fake news, negative
it is unable to find right person, negative
it provides option to look others profile and find your love ones,positive
these sites allow people to connect with similar concerns,positive
the public entities can share information with each others,positive
these sites allow companies to market their products inexpensively,positive
it helps people to attract people,positive
it is a source of re interact with old friends,positive
the people who live far away can interact through it,positive
it allows to organize new members,positive
it allows people to spread their message,positive
it is a source for others separate people and destroy their relationships, negative
it wastes time of those who use these sites regularly, negative
these sites are major cause to develop bad habits in child, negative
It is very harmful of public health,positive
it causes children a higher risk of low self esteem, negative
it provides useful information in crisis events,positive
the US military use social media to help prevent suicide,positive
it can cause anxiety,positive
it can cause diseases like depression,positive
empower the people to gain constructive change,positive
it can cause a huge wastage of time, negative
helps you in gathering an honest assessment for your firm,positive
time wasted on social media will never be regained, negative
it helps people to set their goal,positive
it is a source of motivation for new jobians,positive
advertising on social media sites may create an incursion of privacy, negative
it is also responsible for suicide of many children,positive
academic research can find many audiences,positive
it allows people to access the previously research in the same educational resources,positive
its sites help to improve personality,positive
it keeps up to date about the fashion,positive
it helps to get an immediate assessment about any survey,positive
professional networking sites greatly assist companies to find personnel and job seekers to find work,positive
it is a great cause of spoiling youth, negative
it helps companies to provide customer services,positive
a source to interact with employee of other companies,positive
it is a source of full time job,positive
it is a source of research about any topic,positive
it helps you to make loyal friends,positive
many sites for high level of commitment and cost huge amount of money,positive
it is also a cause of huge power loss, negative
it causes a huge energy loss, negative
it is a platform for prospects,positive
it is free to use,positive
it may cause employee to damage reputation of any company, negative
it provides control on messages,positive
it helps us to know about world,positive
it may cause eye problem, negative
helps you to reach people,positive
it may cause backbone problem, negative
it will help in digital campaign,positive
helps in improving economy,positive
social media like facebook destroy our childern,negative
social media destruct our nation,negative
childern forgot the respect of our elders,negative
social media destroy the interaction within people,negative
excess use of social media demages the eyes,negative
childern don't care the elders through it,negative
childern don't care the feelings of elders through social media,negative
childern tone towards elder is not good on social media,negative
childern fails in exam due to the excess use of social media,negative
we do video calling to our relative through social media,positive
Social media are good for our society in many manners,positive
social media allows to talk with new person who are shy,positive
social media good to have opinions on new photos,positive
On istagram we can follow true stars like hollywood but on other social networking like facebook there are fake users,negative
We can see fashion to brands oficial pages like Adidas and Nike,positive
For one who like playing games on facebook there are lots of games for them,positive
social media is good for lots of persons with diferent personalities,positive
Social media has had a positive outcome on our society,positive
We can meet new people through social media,positive
We can find former friends through social media,positive
When we are bored we can chat with people post pictures on social media,positive
We can share videos photos music with our family and friends through social media,positive
social media can be dangerous because we can also meet bad people,negative
people may insult and harassed through social media,negative
people may become depressed or commit suicide,negative
careful social media can be cool and useful,positive
They're devoting their whole life on social media rather than getting out there and living,negative
It's bad enough people are killing themselves because people and bullying them on the internet like Facebook,negative
social media is an addiction,negative
This is to all the con,negative
if you are reading this YOU ARE ON SOCIAL MEDIA! MODERNIZE,positive
One of the bests ways to have communication with somebody,positive
the best way to have life good way to be involved with each other,positive
If social networking helps catch criminals i don't see why it should be considered bad,positive
Social networking can keep family members connected and help old friends reconnect,positive
We are pro because we can comunicate with friends,positive
To meet new people it's fabulous,positive
We can share thought photos,positive
we can be harassed and many people can look at the social media,negative
i don't want everybody to see my profile,negative
In my view social networks are good for our society,positive
Nature conservation projects can also be shared and many people can see them,positive
Social networks are perfect to share pictures and videos with your friends and family,positive
it's easy to write with people all over the world and make some new acquaintances,positive
you can do the right thing on social media then you should have it,positive
you can not be doing the right thing then no,negative
I think social networks are good for our society because you can find much information about something or someone,positive
People can share their talents and can reach much popularity,positive
News can be shared very fast and everyone can share his opinion and discuss with other guys,positive
You can keep in touch with your friends and family from far away,positive
Social Media helps people connect with the world,positive
It also helps people keep in touch with each other on different sides of the world,positive
I believe that social networking sites are great for society because without it no one can talk to someone far away,positive
Social Media can help us connect with each other and is good for our society because it shares Ideas and stuff,positive
Social networking sites lets shy people to really show people who they are without having to worry about any judgment being involved,negative
Social Media are great ways to connect with friends and develop good social skills,positive
you follow a friend but your not sure it's them don't be afraid to ask,positive
you know use it safely and smart your good,positive
I believe the pros that social media gives us definitely weight more than the cons,positive
Social media makes us wiser on a daily basis for everything on so many levels and the things we can surf about on social media are limitless,positive
I love it when the world gets together,positive
Social media is not bad nor is it good But we have to use common sense before we can use it,positive
social media raised my self esteem,positive
Good for meeting new people and staying in touch,positive
Social media publicly exposes younger kids to what is going on in the world and provides a deeper depth of education and understanding at a young age,positive
I feel it is positive because of how important it is in our modern world,positive
People make a living off of social media as well as a fan base where people become friends,positive
My only issue is that there is a huge group of people who do not use it responsibly,negative
it can be really dangerous if you encounter the wrong person,negative
Helps you keep in touch with family,positive
All around the world even Find information much much faster,positive
Social networking sites are good because some people use their social medias pages as a business such as babysitting page or photography,positive
Social media may be the only way they can promote their businesses because its FREE,positive 
it free to contact them and easier to find their page because you can search them more easily the trying to find a real business out in the streets,positive
Social networking is used as a advantage for some people who truly use the social medias for their purpose,positive
we can talk/text your loved ones that are not around and keep them in touch,positive
It allows people to overcome their social fears,positive
Social media can be used by people with social anxiety in ways they might be terribly afraid to do otherwise,negative
